ID,State,StateID,StateText,TimeIn,TimeUserAck,TimePLCAck,MessageID,MessageText,Occur,GroupID,GroupText,Priority,Parameter1,Parameter2,Group,Class,HistoricalID,HasNotes,SortBuffer,TimeInUTC
71,0,$358,,13/09/2021,30/12/1899,13/09/2021,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,1516,0,,13/09/2021
58,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1517,0,,13/09/2021
33,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4128,Protective cover 1 open,1,$4126,Protective covers,650,CP:.VC_MX_002_MS_SHFSKette,20000201,20,4,1518,0,,13/09/2021
33,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4128,Protective cover 1 open,1,$4126,Protective covers,650,CP:.VC_MX_002_MS_SHFSKette,20000201,20,4,1519,0,,13/09/2021
57,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4156,Ready for combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiReady,20000617,24,6,1520,0,,13/09/2021
57,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4156,Ready for combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiReady,20000617,24,6,1521,0,,13/09/2021
58,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1522,0,,13/09/2021
82,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4186,Product not inserted,1,$4185,Product not inserted,640,CP:.VC_MX_014_MS_ProdNiEing,20001400,29,4,1523,0,,13/09/2021
58,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1524,0,,13/09/2021
156,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4273,Clear flap transfer,1,$4271,Combination,620,CP:.VC_MX_704_MS_TubevomBand,20070403,42,4,1525,0,,13/09/2021
33,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4128,Protective cover 1 open,1,$4126,Protective covers,650,CP:.VC_MX_002_MS_SHFSKette,20000201,20,4,1526,0,,13/09/2021
33,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4128,Protective cover 1 open,1,$4126,Protective covers,650,CP:.VC_MX_002_MS_SHFSKette,20000201,20,4,1527,0,,13/09/2021
149,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4264,Protective cover flap transfer is open,1,$4258,Flap transfer,650,CP:.VC_MX_500_MS_SHKlappe,20050005,40,4,1528,0,,13/09/2021
149,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4264,Protective cover flap transfer is open,1,$4258,Flap transfer,650,CP:.VC_MX_500_MS_SHKlappe,20050005,40,4,1529,0,,13/09/2021
156,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4273,Clear flap transfer,1,$4271,Combination,620,CP:.VC_MX_704_MS_TubevomBand,20070403,42,4,1530,0,,13/09/2021
82,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4186,Product not inserted,1,$4185,Product not inserted,640,CP:.VC_MX_014_MS_ProdNiEing,20001400,29,4,1531,0,,13/09/2021
75,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,1532,0,,13/09/2021
58,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1533,0,,13/09/2021
75,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,1534,0,,13/09/2021
71,4,$356,,13/09/2021,30/12/1899,30/12/1899,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,1535,0,,13/09/2021
71,0,$358,,13/09/2021,30/12/1899,13/09/2021,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,1536,0,,13/09/2021
58,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4157,Combined operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_CombiRun,20000618,24,6,1537,0,,13/09/2021
84,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4189,Overload infeed,1,$4187,Infeed,640,CP:.VC_MX_016_MS_UeberlEinschub,20001601,30,4,1538,0,,13/09/2021
